location,reproduction_rate,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,stringency_index,population_density,diabetes_prevalence,kmeans_cluster
Albania,1.0285714285714287,3174.7965056526205,1116.9599177800617,43.606434699714015,104.871,10.08,1
Algeria,1.0034513274336283,26193.670668953688,583.3241852487135,51.29401559454191,17.348,6.73,1
Argentina,0.9698526522593319,104271.51382694024,2291.1677074041036,52.42913321167884,16.177,5.5,1
Australia,1.0954961089494164,85935.18659658344,3282.7805519053877,49.198200192492784,3.202,5.07,1
Austria,1.063920233463035,22672.839424141748,2536.204872646733,51.82303088803089,106.749,6.35,1
Belgium,1.123139534883721,29675.524999999998,2545.983,40.699511494252874,375.564,4.29,1
Bosnia and Herzegovina,1.0568307086614173,5436.727272727273,1681.2869318181818,40.7880604288499,68.496,10.08,1
Brazil,1.0905560975609756,612649.7229219143,2845.3639798488666,51.19103581800581,25.04,8.11,1
Bulgaria,1.037023575638507,4214.530303030303,621.4260249554367,37.80231742940604,65.18,5.809999999999999,1
Canada,1.052,124288.38205128205,3232.101282051282,51.51295327102804,4.037,7.370000000000001,1
Chile,1.0455522971652005,80791.69458762887,4121.261597938144,54.56294573643411,24.282,8.46,1
Colombia,0.9652254901960784,116191.69576379974,2239.85622593068,53.30273080660836,44.223,7.4399999999999995,1
Costa Rica,0.9221533923303835,13359.01968503937,2578.549212598425,45.33988461538462,96.079,8.78,1
Croatia,1.0473110893032385,5051.497648165569,1253.3546566321731,34.72853307766059,73.726,5.59,1
Denmark,1.053842412451362,15171.15906788247,2579.1357649442757,36.2376872659176,136.52,6.410000000000001,1
Dominican Republic,0.9787217305801377,15710.640535372848,1399.1491395793498,47.74625242718447,222.87299999999996,8.2,1
Ecuador,0.998343137254902,49459.39,2747.545,50.31928502415459,66.939,5.55,1
Egypt,0.7571582031249999,132974.4155844156,1198.0672963400236,45.89204457364341,97.999,17.31,1
El Salvador,0.62374749498998,19063.619932432433,3008.5591216216217,42.4207100591716,307.811,8.87,1
Estonia,1.0594921875,1935.992863514719,1459.956289027654,32.857734082397,31.033,4.02,1
Ethiopia,1.0316986855409505,85136.61025641026,690.1089743589744,47.63301740812379,104.957,7.47,1
Fiji,0.9583116883116884,2007.5987096774193,2159.24,55.212184873949575,49.562,14.489999999999998,1
Georgia,0.8107936507936507,5071.176470588235,1354.3737024221452,44.781864573110894,65.032,7.11,1
